ReadingIndex,LightIntensity,Temperature,Date,Time
1,831,104,2025-03-08,10:13:55
2,774,106,2025-03-08,10:18:58
3,834,105,2025-03-08,10:24:00
4,832,106,2025-03-08,10:29:02
5,822,113,2025-03-08,10:34:05
6,790,110,2025-03-08,10:39:07
7,819,107,2025-03-08,10:44:10
8,820,105,2025-03-08,10:49:13
9,821,105,2025-03-08,10:54:14
10,822,104,2025-03-08,10:59:17
11,820,105,2025-03-08,11:04:20
12,818,104,2025-03-08,11:09:22
13,822,103,2025-03-08,11:14:24
14,820,103,2025-03-08,11:19:26
15,821,103,2025-03-08,11:24:29
16,822,103,2025-03-08,11:29:32
17,818,118,2025-03-08,11:34:34
18,827,101,2025-03-08,11:39:36
19,830,101,2025-03-08,11:44:38
20,824,102,2025-03-08,11:49:41
21,822,108,2025-03-08,11:54:43
22,824,109,2025-03-08,11:59:46
23,825,110,2025-03-08,12:04:49
24,824,106,2025-03-08,12:09:50
25,818,110,2025-03-08,12:14:53
26,826,110,2025-03-08,12:19:56
27,827,115,2025-03-08,12:24:58
28,824,112,2025-03-08,12:30:01
29,822,109,2025-03-08,12:35:03
30,820,106,2025-03-08,12:40:05
31,817,107,2025-03-08,12:45:08
32,816,104,2025-03-08,12:50:10
33,812,101,2025-03-08,12:55:13
34,816,101,2025-03-08,13:00:15
35,817,115,2025-03-08,13:05:17
36,813,100,2025-03-08,13:10:20
37,811,100,2025-03-08,13:15:22
38,813,101,2025-03-08,13:20:25
39,817,110,2025-03-08,13:25:27
40,811,113,2025-03-08,13:30:29
41,816,125,2025-03-08,13:35:32
42,806,107,2025-03-08,13:40:35
43,797,100,2025-03-08,13:45:37
44,802,98,2025-03-08,13:50:40
45,802,98,2025-03-08,13:55:42
46,797,97,2025-03-08,14:00:44
47,790,98,2025-03-08,14:05:47
48,793,98,2025-03-08,14:10:49
49,791,98,2025-03-08,14:15:52
50,789,98,2025-03-08,14:20:55
51,785,98,2025-03-08,14:25:56
52,787,99,2025-03-08,14:30:59
53,782,99,2025-03-08,14:36:02
54,780,98,2025-03-08,14:41:04
55,773,100,2025-03-08,14:46:07
56,769,99,2025-03-08,14:51:09
57,771,100,2025-03-08,14:56:11
58,767,100,2025-03-08,15:01:14
59,768,100,2025-03-08,15:06:17
60,761,106,2025-03-08,15:11:19
61,762,106,2025-03-08,15:16:21
62,767,106,2025-03-08,15:21:23
63,767,109,2025-03-08,15:26:26
64,761,121,2025-03-08,15:31:29
65,767,125,2025-03-08,15:36:31
66,765,120,2025-03-08,15:41:34
67,761,116,2025-03-08,15:46:36
68,758,116,2025-03-08,15:51:38
69,760,115,2025-03-08,15:56:41
70,757,115,2025-03-08,16:01:44
71,757,113,2025-03-08,16:06:46
72,754,117,2025-03-08,16:11:48
73,749,109,2025-03-08,16:16:50
74,744,108,2025-03-08,16:21:53
75,746,110,2025-03-08,16:26:56
76,751,141,2025-03-08,16:31:58
77,749,138,2025-03-08,16:37:00
78,745,120,2025-03-08,16:42:03
79,745,125,2025-03-08,16:47:05
80,745,143,2025-03-08,16:52:08
81,737,141,2025-03-08,16:57:11
82,731,138,2025-03-08,17:02:12
83,738,175,2025-03-08,17:07:15
84,745,211,2025-03-08,17:12:18
85,717,146,2025-03-08,17:17:20
86,707,143,2025-03-08,17:22:22
87,695,142,2025-03-08,17:27:24
88,675,142,2025-03-08,17:32:27
89,635,137,2025-03-08,17:37:30
90,593,134,2025-03-08,17:42:31
91,562,141,2025-03-08,17:47:34
92,533,142,2025-03-08,17:52:37
93,500,122,2025-03-08,17:57:39
94,469,118,2025-03-08,18:02:42
95,435,127,2025-03-08,18:07:44
96,388,109,2025-03-08,18:12:46
97,334,106,2025-03-08,18:17:49
98,268,100,2025-03-08,18:22:52
99,200,95,2025-03-08,18:27:53
100,133,83,2025-03-08,18:32:56
101,80,62,2025-03-08,18:37:59
102,43,33,2025-03-08,18:43:01
103,17,20,2025-03-08,18:48:03
104,3,9,2025-03-08,18:53:06
105,0,7,2025-03-08,18:58:09
106,0,1,2025-03-08,19:03:09
107,0,6,2025-03-08,19:08:12
108,0,1,2025-03-08,19:13:14
109,0,6,2025-03-08,19:18:17
110,0,5,2025-03-08,19:23:19
111,0,0,2025-03-08,19:28:21
112,0,6,2025-03-08,19:33:24
113,0,6,2025-03-08,19:38:26
114,0,7,2025-03-08,19:43:29
115,0,7,2025-03-08,19:48:31
116,0,4,2025-03-08,19:53:33
117,0,7,2025-03-08,19:58:36
118,0,2,2025-03-08,20:03:39
119,0,8,2025-03-08,20:08:40
120,0,4,2025-03-08,20:13:43
121,0,1,2025-03-08,20:18:46
122,0,2,2025-03-08,20:23:48
123,0,4,2025-03-08,20:28:50
124,0,10,2025-03-08,20:33:53
125,0,2,2025-03-08,20:38:56
126,0,4,2025-03-08,20:43:58
127,0,4,2025-03-08,20:49:00
128,0,4,2025-03-08,20:54:02
129,0,11,2025-03-08,20:59:05
130,0,7,2025-03-08,21:04:07
131,0,3,2025-03-08,21:09:10
132,0,11,2025-03-08,21:14:12
133,0,11,2025-03-08,21:19:15
134,0,3,2025-03-08,21:24:17
135,0,11,2025-03-08,21:29:19
136,0,3,2025-03-08,21:34:22
137,0,11,2025-03-08,21:39:25
138,0,1,2025-03-08,21:44:26
139,0,5,2025-03-08,21:49:29
140,0,11,2025-03-08,21:54:32
141,0,1,2025-03-08,21:59:34
142,0,11,2025-03-08,22:04:36
143,0,0,2025-03-08,22:09:39
144,0,12,2025-03-08,22:14:41
145,0,5,2025-03-08,22:19:44
146,0,3,2025-03-08,22:24:46
147,0,11,2025-03-08,22:29:48
148,0,7,2025-03-08,22:34:51
149,0,10,2025-03-08,22:39:53
150,0,12,2025-03-08,22:44:56
151,0,11,2025-03-08,22:49:58
152,0,12,2025-03-08,22:55:01
153,0,9,2025-03-08,23:00:03
154,0,6,2025-03-08,23:05:05
155,0,9,2025-03-08,23:10:08
156,0,13,2025-03-08,23:15:11
157,0,11,2025-03-08,23:20:12
158,0,2,2025-03-08,23:25:15
159,0,1,2025-03-08,23:30:18
160,0,3,2025-03-08,23:35:20
161,0,7,2025-03-08,23:40:22
162,0,11,2025-03-08,23:45:25
163,0,12,2025-03-08,23:50:27
164,0,6,2025-03-08,23:55:30
165,0,3,2025-03-09,00:00:32
166,0,12,2025-03-09,00:05:34
167,0,1,2025-03-09,00:10:37
168,0,0,2025-03-09,00:15:40
169,0,9,2025-03-09,00:20:41
170,0,8,2025-03-09,00:25:44
171,0,1,2025-03-09,00:30:46
172,0,4,2025-03-09,00:35:49
173,0,1,2025-03-09,00:40:52
174,0,8,2025-03-09,00:45:54
175,0,1,2025-03-09,00:50:56
176,0,1,2025-03-09,00:55:58
177,0,7,2025-03-09,01:01:01
178,0,7,2025-03-09,01:06:03
179,0,6,2025-03-09,01:11:06
180,0,1,2025-03-09,01:16:08
181,0,1,2025-03-09,01:21:10
182,0,7,2025-03-09,01:26:13
183,0,6,2025-03-09,01:31:15
184,0,7,2025-03-09,01:36:18
185,0,4,2025-03-09,01:41:21
186,31,27,2025-03-09,01:46:22
187,17,19,2025-03-09,01:51:25
188,36,40,2025-03-09,01:56:27
189,46,42,2025-03-09,02:01:30
190,10,17,2025-03-09,02:06:32
191,9,10,2025-03-09,02:11:34
192,6,10,2025-03-09,02:16:37
193,9,9,2025-03-09,02:21:39
194,10,10,2025-03-09,02:26:42
195,23,30,2025-03-09,02:31:44
196,6,15,2025-03-09,02:36:47
197,0,7,2025-03-09,02:41:49
198,35,41,2025-03-09,02:46:51
199,61,52,2025-03-09,02:51:54
200,0,4,2025-03-09,02:56:56
201,54,57,2025-03-09,03:01:59
202,365,102,2025-03-09,03:07:00
203,362,96,2025-03-09,03:12:03
204,353,103,2025-03-09,03:17:06
205,361,101,2025-03-09,03:22:08
206,384,96,2025-03-09,03:27:11
207,335,96,2025-03-09,03:32:12
208,287,95,2025-03-09,03:37:15
209,260,95,2025-03-09,03:42:18
210,271,95,2025-03-09,03:47:20
211,303,95,2025-03-09,03:52:23
212,283,95,2025-03-09,03:57:24
213,259,95,2025-03-09,04:02:27
214,321,96,2025-03-09,04:07:29
215,316,95,2025-03-09,04:12:32
216,261,95,2025-03-09,04:17:35
217,312,96,2025-03-09,04:22:37
218,278,95,2025-03-09,04:27:39
219,303,96,2025-03-09,04:32:41
220,332,96,2025-03-09,04:37:44
221,315,96,2025-03-09,04:42:46
222,324,96,2025-03-09,04:47:49
223,346,97,2025-03-09,04:52:51
224,347,97,2025-03-09,04:57:53
225,354,97,2025-03-09,05:02:56
226,319,96,2025-03-09,05:07:58
227,341,97,2025-03-09,05:13:01
228,342,97,2025-03-09,05:18:03
229,357,97,2025-03-09,05:23:05
230,342,97,2025-03-09,05:28:07
231,336,97,2025-03-09,05:33:10
232,355,97,2025-03-09,05:38:12
233,341,97,2025-03-09,05:43:15
234,340,97,2025-03-09,05:48:18
235,333,97,2025-03-09,05:53:19
236,349,97,2025-03-09,05:58:22
237,355,97,2025-03-09,06:03:24
238,347,97,2025-03-09,06:08:27
239,360,97,2025-03-09,06:13:29
240,412,98,2025-03-09,06:18:32
241,498,99,2025-03-09,06:23:33
242,618,100,2025-03-09,06:28:36
243,747,100,2025-03-09,06:33:39
244,898,100,2025-03-09,06:38:41
245,991,100,2025-03-09,06:43:44
246,1017,100,2025-03-09,06:48:45
247,1023,100,2025-03-09,06:53:48
248,1023,100,2025-03-09,06:58:50
249,1023,100,2025-03-09,07:03:53
250,1023,100,2025-03-09,07:08:55
251,1023,100,2025-03-09,07:13:58
252,1023,100,2025-03-09,07:19:00
253,1023,100,2025-03-09,07:24:02
254,1023,100,2025-03-09,07:29:05
255,1023,100,2025-03-09,07:34:07
256,1023,100,2025-03-09,07:39:10
257,1023,100,2025-03-09,07:44:12
258,1023,100,2025-03-09,07:49:14
259,1023,100,2025-03-09,07:54:17
260,1023,100,2025-03-09,07:59:18
261,1023,100,2025-03-09,08:04:21
262,1023,100,2025-03-09,08:09:24
263,1023,100,2025-03-09,08:14:26
264,1023,100,2025-03-09,08:19:29
265,1023,100,2025-03-09,08:24:31
266,1023,100,2025-03-09,08:29:34
267,1023,100,2025-03-09,08:34:35
268,1023,100,2025-03-09,08:39:38
269,1023,100,2025-03-09,08:44:40
270,1023,100,2025-03-09,08:49:43
271,1023,100,2025-03-09,08:54:45
272,1023,100,2025-03-09,08:59:48
273,1023,100,2025-03-09,09:04:49
274,1023,100,2025-03-09,09:09:52
275,1023,100,2025-03-09,09:14:55
276,1023,100,2025-03-09,09:19:57
277,1023,100,2025-03-09,09:25:00
278,1023,99,2025-03-09,09:30:02
279,1023,99,2025-03-09,09:35:05
280,1023,100,2025-03-09,09:40:06
281,1023,99,2025-03-09,09:45:09
282,1023,99,2025-03-09,09:50:11
283,1023,99,2025-03-09,09:55:14
284,1023,99,2025-03-09,10:00:16
285,1023,99,2025-03-09,10:05:19
